date,product_id,product_name,category,is_perishable,shelf_life_days,quantity_sold,unit_price,cost_price,total_amount,day_of_week,is_weekend,is_holiday,month,year,week_of_year,temperature_avg,rainfall_mm,weather_condition,neighbourhood_activity,profit_margin,spoilage_risk_score
2024-01-01,P001,Fresh Milk (1L),Dairy,True,3,46,85.0,63.0,3910.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.2588,0.4683
2024-01-01,P002,Eggs (tray 30),Dairy,True,14,12,450.0,345.0,5400.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.2333,0.2064
2024-01-01,P003,Sliced Bread,Bakery,True,5,46,75.0,52.0,3450.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3067,0.335
2024-01-01,P004,Tomatoes (kg),Vegetables,True,7,18,120.0,82.0,2160.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3167,0.2779
2024-01-01,P005,Onions (kg),Vegetables,True,21,26,130.0,88.0,3380.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3231,0.1826
2024-01-01,P006,Bananas (bunch),Fruits,True,5,20,160.0,108.0,3200.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.325,0.335
2024-01-01,P007,Oranges (kg),Fruits,True,10,19,180.0,120.0,3420.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3333,0.235
2024-01-01,P008,Maize Flour (2kg),Staples,False,180,47,220.0,165.0,10340.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.25,0.0
2024-01-01,P009,Wheat Flour (1kg),Staples,False,180,44,130.0,95.0,5720.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.2692,0.0
2024-01-01,P010,Rice (2kg),Staples,False,365,54,300.0,225.0,16200.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.25,0.0
2024-01-01,P011,Cooking Oil (1L),Cooking,False,365,32,350.0,270.0,11200.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.2286,0.0
2024-01-01,P012,Sugar (1kg),Condiments,False,730,48,180.0,135.0,8640.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.25,0.0
2024-01-01,P013,Salt (500g),Condiments,False,730,36,55.0,35.0,1980.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3636,0.0
2024-01-01,P014,Soda (500ml),Beverages,False,180,46,80.0,56.0,3680.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3,0.0
2024-01-01,P015,Water (500ml),Beverages,False,365,49,50.0,30.0,2450.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.4,0.0
2024-01-01,P016,Black Tea Leaves,Beverages,False,365,63,100.0,70.0,6300.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3,0.0
2024-01-01,P017,Bathing Soap,Personal Care,False,730,16,130.0,90.0,2080.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3077,0.0
2024-01-01,P018,Washing Powder (500g),Household,False,730,28,170.0,125.0,4760.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.2647,0.0
2024-01-01,P019,Matches (box),Household,False,730,55,25.0,14.0,1375.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.44,0.0
2024-01-01,P020,Mandazi Mix (500g),Bakery,True,7,40,130.0,90.0,5200.0,Monday,False,True,1,2024,1,22.5,0.0,Sunny,2,0.3077,0.2779
2024-01-02,P001,Fresh Milk (1L),Dairy,True,3,29,85.0,63.0,2465.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2588,0.4863
2024-01-02,P002,Eggs (tray 30),Dairy,True,14,8,450.0,345.0,3600.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2333,0.2244
2024-01-02,P003,Sliced Bread,Bakery,True,5,22,75.0,52.0,1650.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3067,0.353
2024-01-02,P004,Tomatoes (kg),Vegetables,True,7,20,120.0,82.0,2400.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3167,0.2959
2024-01-02,P005,Onions (kg),Vegetables,True,21,15,130.0,88.0,1950.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3231,0.2006
2024-01-02,P006,Bananas (bunch),Fruits,True,5,7,160.0,108.0,1120.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.325,0.473
2024-01-02,P007,Oranges (kg),Fruits,True,10,7,180.0,120.0,1260.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3333,0.303
2024-01-02,P008,Maize Flour (2kg),Staples,False,180,45,220.0,165.0,9900.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.25,0.0
2024-01-02,P009,Wheat Flour (1kg),Staples,False,180,20,130.0,95.0,2600.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2692,0.0
2024-01-02,P010,Rice (2kg),Staples,False,365,24,300.0,225.0,7200.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.25,0.0
2024-01-02,P011,Cooking Oil (1L),Cooking,False,365,17,350.0,270.0,5950.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2286,0.0
2024-01-02,P012,Sugar (1kg),Condiments,False,730,33,180.0,135.0,5940.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.25,0.0
2024-01-02,P013,Salt (500g),Condiments,False,730,27,55.0,35.0,1485.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3636,0.0
2024-01-02,P014,Soda (500ml),Beverages,False,180,25,80.0,56.0,2000.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3,0.0
2024-01-02,P015,Water (500ml),Beverages,False,365,38,50.0,30.0,1900.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.4,0.0
2024-01-02,P016,Black Tea Leaves,Beverages,False,365,32,100.0,70.0,3200.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3,0.0
2024-01-02,P017,Bathing Soap,Personal Care,False,730,11,130.0,90.0,1430.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3077,0.0
2024-01-02,P018,Washing Powder (500g),Household,False,730,12,170.0,125.0,2040.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2647,0.0
2024-01-02,P019,Matches (box),Household,False,730,30,25.0,14.0,750.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.44,0.0
2024-01-02,P020,Mandazi Mix (500g),Bakery,True,7,21,130.0,90.0,2730.0,Tuesday,False,False,1,2024,1,23.1,0.0,Partly Cloudy,2,0.3077,0.2959
2024-01-03,P001,Fresh Milk (1L),Dairy,True,3,28,85.0,63.0,2380.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.2588,0.4663
2024-01-03,P002,Eggs (tray 30),Dairy,True,14,10,450.0,345.0,4500.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.2333,0.2044
2024-01-03,P003,Sliced Bread,Bakery,True,5,19,75.0,52.0,1425.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.3067,0.333
2024-01-03,P004,Tomatoes (kg),Vegetables,True,7,17,120.0,82.0,2040.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.3167,0.2759
2024-01-03,P005,Onions (kg),Vegetables,True,21,14,130.0,88.0,1820.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.3231,0.1806
2024-01-03,P006,Bananas (bunch),Fruits,True,5,11,160.0,108.0,1760.0,Wednesday,False,False,1,2024,1,19.1,4.2,Heavy Rain,2,0.325,0.333
