date,product_id,product_name,category,is_perishable,shelf_life_days,quantity_sold,unit_price,cost_price,total_amount,day_of_week,is_weekend,is_holiday,month,year,week_of_year,temperature_avg,rainfall_mm,weather_condition,neighbourhood_activity,profit_margin,spoilage_risk_score,is_quantity_outlier,is_total_amount_outlier,sales_lag_1,sales_lag_7,sales_lag_14,sales_roll_mean_7,sales_roll_std_7,sales_roll_mean_14,day_of_year,day_sin,day_cos,month_sin,month_cos,weekday_num,weekday_sin,weekday_cos,trend_day,revenue_per_unit,category_enc,weather_condition_enc,day_of_week_enc,temperature_avg_scaled,rainfall_mm_scaled,unit_price_scaled,cost_price_scaled,profit_margin_scaled,sales_roll_mean_7_scaled,sales_roll_std_7_scaled,sales_roll_mean_14_scaled,trend_day_scaled,sales_lag_1_scaled,sales_lag_7_scaled,sales_lag_14_scaled,anomaly_score,is_anomaly
2024-01-01,P001,Fresh Milk (1L),Dairy,1,3,46,85.0,63.0,3910.0,Monday,0,1,1,2024,1,22.5,0.0,Sunny,2,0.2588,0.4683,False,False,46.0,46.0,46.0,46.0,0.0,46.0,1,0.0172015754182605,0.9998520419557736,0.4999999999999999,0.8660254037844387,0,0.0,1.0,0,85.0,4,4,1,1.0528788259305943,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,2.5936165582611848,-2.0334205018584903,2.6360217948338858,-1.729682999479536,2.164647027716353,2.1458756084244284,2.110480379470617,-0.6643518203036596,True
2024-01-02,P001,Fresh Milk (1L),Dairy,1,3,29,85.0,63.0,2465.0,Tuesday,0,0,1,2024,1,23.1,0.0,Partly Cloudy,2,0.2588,0.4863,False,False,46.0,46.0,46.0,46.0,0.0,46.0,2,0.034398060613608,0.9994082116062598,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,1,85.0,4,3,5,1.3191184644737826,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,2.5936165582611848,-2.0334205018584903,2.6360217948338858,-1.7249441419467155,2.164647027716353,2.1458756084244284,2.110480379470617,-0.5574376144026224,False
2024-01-03,P001,Fresh Milk (1L),Dairy,1,3,28,85.0,63.0,2380.0,Wednesday,0,0,1,2024,1,19.1,4.2,Heavy Rain,2,0.2588,0.4663,False,False,29.0,46.0,46.0,37.5,12.020815280171307,37.5,3,0.0515843668694083,0.9986686402879996,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,2,85.0,4,0,6,-0.4558124591474677,-0.0645754299934497,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.675134965673352,2.06197579436846,1.702474319387839,-1.7202052844138949,0.6324296121201786,2.1458756084244284,2.110480379470617,-0.4827861411253931,False
2024-01-04,P001,Fresh Milk (1L),Dairy,1,3,24,85.0,63.0,2040.0,Thursday,0,0,1,2024,1,21.5,0.0,Sunny,2,0.2588,0.4383,False,False,28.0,46.0,46.0,34.333333333333336,10.11599393699568,34.333333333333336,4,0.0687554084811394,0.9976335468520452,0.4999999999999999,0.8660254037844387,3,0.4338837391175582,-0.900968867902419,3,85.0,4,4,4,0.6091460950252818,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.3329555488269047,1.4130182909049889,1.354682122653038,-1.7154664268810742,0.542299175908639,2.1458756084244284,2.110480379470617,-0.46352708539816245,False
2024-01-05,P001,Fresh Milk (1L),Dairy,1,3,30,85.0,63.0,2550.0,Friday,0,0,1,2024,1,20.7,0.0,Sunny,2,0.2588,0.4143,False,False,24.0,46.0,46.0,31.75,9.74251849711699,31.75,5,0.0859061042613327,0.9963032375991964,0.4999999999999999,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,4,85.0,4,4,0,0.2541599103010314,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.053809182452171,1.285778174693078,1.0709569095272786,-1.7107275693482535,0.1817774310624801,2.1458756084244284,2.110480379470617,-0.44833049969547695,False
2024-01-06,P001,Fresh Milk (1L),Dairy,1,3,47,85.0,63.0,3995.0,Saturday,1,0,1,2024,1,23.2,0.0,Partly Cloudy,2,0.2588,0.4893,False,False,30.0,46.0,46.0,31.4,8.473488065725945,31.4,6,0.1030313790431787,0.9946781061893646,0.4999999999999999,0.8660254037844387,5,-0.9749279121818236,-0.2225209339563146,5,85.0,4,3,2,1.363491737564313,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.0159893521691423,0.853429585401378,1.0325167193618532,-1.7059887118154329,0.7225600483317183,2.1458756084244284,2.110480379470617,-0.5475949156592013,False
2024-01-07,P001,Fresh Milk (1L),Dairy,1,3,40,85.0,63.0,3400.0,Sunday,1,0,1,2024,1,23.7,0.0,Sunny,2,0.2588,0.5043,False,False,47.0,46.0,46.0,34.0,9.899494936611664,34.0,7,0.1201261651823505,0.9927586335250792,0.4999999999999999,0.8660254037844387,6,-0.7818314824680299,0.6234898018587334,6,85.0,4,4,3,1.5853581030169692,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.296936662843068,1.339258800916645,1.318072417733585,-1.7012498542826122,2.254777463927893,2.1458756084244284,2.110480379470617,-0.5535754114988062,False
2024-01-08,P001,Fresh Milk (1L),Dairy,1,3,31,85.0,63.0,2635.0,Monday,0,0,1,2024,2,20.7,0.0,Partly Cloudy,2,0.2588,0.4143,False,False,40.0,46.0,46.0,34.857142857142854,9.317162862670363,34.857142857142854,8,0.1371854040566005,0.9905453876091832,0.4999999999999999,0.8660254037844387,0,0.0,1.0,7,85.0,4,3,1,0.2541599103010314,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.389556655372933,1.1408628882261558,1.4122116589550349,-1.6965109967497916,1.6238644104471152,2.1458756084244284,2.110480379470617,-0.4769858958648565,False
2024-01-09,P001,Fresh Milk (1L),Dairy,1,3,20,85.0,63.0,1700.0,Tuesday,0,0,1,2024,2,20.6,0.0,Overcast,2,0.2588,0.4477,False,False,31.0,29.0,46.0,32.714285714285715,7.952238379104039,34.375,9,0.1542040475626894,0.988039023376751,0.4999999999999999,0.8660254037844387,1,0.7818314824680298,0.6234898018587336,8,85.0,4,2,5,0.2097866372105011,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.1580066740482695,0.675843956952191,1.3592583357679695,-1.691772139216971,0.812690484543258,0.6225374469385884,2.110480379470617,-0.45493102530580914,False
2024-01-10,P001,Fresh Milk (1L),Dairy,1,3,25,85.0,63.0,2125.0,Wednesday,0,0,1,2024,2,21.9,0.0,Partly Cloudy,2,0.2588,0.4503,False,False,20.0,28.0,46.0,31.428571428571427,9.271050693011066,32.77777777777778,10,0.1711770596101998,0.985240282501282,0.4999999999999999,0.8660254037844387,2,0.9749279121818236,-0.2225209339563143,9,85.0,4,3,6,0.7866391873874062,-0.3494310121283485,-0.6873793659447387,-0.6154310729959156,-0.7965762930791203,1.0190766852534712,1.1251528382476668,1.1838368330289248,-1.6870332816841502,-0.1787443137836786,0.5329293197923626,2.110480379470617,-0.4506204953101191,False
